continent,location,date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million
Europe,Belgium,2020-02-02,,,,,,
Europe,Belgium,2020-02-04,1.0,,,,0.086,
Europe,Belgium,2020-02-05,1.0,,,,0.086,
Europe,Belgium,2020-02-06,1.0,,,,0.086,
Europe,Belgium,2020-02-07,1.0,,,,0.086,
Europe,Belgium,2020-02-08,1.0,,,,0.086,
Europe,Belgium,2020-02-09,1.0,,,,0.086,
Europe,Belgium,2020-02-10,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-11,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-12,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-13,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-14,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-15,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-16,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-17,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-18,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-19,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-20,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-21,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-22,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-23,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-24,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-25,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-26,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-27,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-28,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-02-29,1.0,0.0,,0.0,0.086,
Europe,Belgium,2020-03-01,2.0,0.14300000000000002,,0.0,0.17300000000000001,
Europe,Belgium,2020-03-02,8.0,1.0,,0.0,0.69,
Europe,Belgium,2020-03-03,13.0,1.714,,0.0,1.122,
Europe,Belgium,2020-03-04,23.0,3.1430000000000002,,0.0,1.985,
Europe,Belgium,2020-03-05,50.0,7.0,,0.0,4.314,
Europe,Belgium,2020-03-06,109.0,15.429,,0.0,9.405,
Europe,Belgium,2020-03-07,169.0,24.0,,0.0,14.582,
Europe,Belgium,2020-03-08,200.0,28.285999999999998,,0.0,17.257,
Europe,Belgium,2020-03-09,239.0,33.0,,0.0,20.622,
Europe,Belgium,2020-03-10,267.0,36.286,,0.0,23.038,
Europe,Belgium,2020-03-11,314.0,41.571000000000005,3.0,0.0,27.093000000000004,0.259
