Country,Year,Causes,Both sexes
Afghanistan,2016,Malignant neoplasms,19965
Afghanistan,2016,Diabetes mellitus,7056
Afghanistan,2016,Cardiovascular diseases,51244
Afghanistan,2016,Chronic obstructive pulmonary disease,6715
Albania,2016,Malignant neoplasms,5138
Albania,2016,Diabetes mellitus,168
Albania,2016,Cardiovascular diseases,14930
Albania,2016,Chronic obstructive pulmonary disease,887
Algeria,2016,Malignant neoplasms,25166
Algeria,2016,Diabetes mellitus,8390
Algeria,2016,Cardiovascular diseases,69173
Algeria,2016,Chronic obstructive pulmonary disease,5965
Angola,2016,Malignant neoplasms,8455
Angola,2016,Diabetes mellitus,2379
Angola,2016,Cardiovascular diseases,22541
Angola,2016,Chronic obstructive pulmonary disease,3602
Antigua and Barbuda,2016,Malignant neoplasms,134
Antigua and Barbuda,2016,Diabetes mellitus,53
Antigua and Barbuda,2016,Cardiovascular diseases,212
Antigua and Barbuda,2016,Chronic obstructive pulmonary disease,28
Argentina,2016,Malignant neoplasms,65657
Argentina,2016,Diabetes mellitus,9233
Argentina,2016,Cardiovascular diseases,91028
Argentina,2016,Chronic obstructive pulmonary disease,34425
Armenia,2016,Malignant neoplasms,7953
Armenia,2016,Diabetes mellitus,1093
Armenia,2016,Cardiovascular diseases,12288
Armenia,2016,Chronic obstructive pulmonary disease,1156
Australia,2016,Malignant neoplasms,45749
Australia,2016,Diabetes mellitus,4754
Australia,2016,Cardiovascular diseases,44042
Australia,2016,Chronic obstructive pulmonary disease,11738
Austria,2016,Malignant neoplasms,20899
Austria,2016,Diabetes mellitus,3402
Austria,2016,Cardiovascular diseases,33017
Austria,2016,Chronic obstructive pulmonary disease,4108
Azerbaijan,2016,Malignant neoplasms,10136
Azerbaijan,2016,Diabetes mellitus,1475
Azerbaijan,2016,Cardiovascular diseases,32390
Azerbaijan,2016,Chronic obstructive pulmonary disease,1911
Bahamas,2016,Malignant neoplasms,532
Bahamas,2016,Diabetes mellitus,119
Bahamas,2016,Cardiovascular diseases,727
Bahamas,2016,Chronic obstructive pulmonary disease,40
Bahrain,2016,Malignant neoplasms,456
Bahrain,2016,Diabetes mellitus,404
Bahrain,2016,Cardiovascular diseases,775
Bahrain,2016,Chronic obstructive pulmonary disease,96
Bangladesh,2016,Malignant neoplasms,99620
Bangladesh,2016,Diabetes mellitus,28065
Bangladesh,2016,Cardiovascular diseases,257555
Bangladesh,2016,Chronic obstructive pulmonary disease,82293
Barbados,2016,Malignant neoplasms,732
Barbados,2016,Diabetes mellitus,286
Barbados,2016,Cardiovascular diseases,947
Barbados,2016,Chronic obstructive pulmonary disease,114
Belarus,2016,Malignant neoplasms,18808
Belarus,2016,Diabetes mellitus,404
Belarus,2016,Cardiovascular diseases,73656
Belarus,2016,Chronic obstructive pulmonary disease,2172
Belgium,2016,Malignant neoplasms,28807
Belgium,2016,Diabetes mellitus,1683
Belgium,2016,Cardiovascular diseases,30963
Belgium,2016,Chronic obstructive pulmonary disease,8648
Belize,2016,Malignant neoplasms,287
Belize,2016,Diabetes mellitus,160
Belize,2016,Cardiovascular diseases,514
Belize,2016,Chronic obstructive pulmonary disease,65
Benin,2016,Malignant neoplasms,3918
Benin,2016,Diabetes mellitus,1515
Benin,2016,Cardiovascular diseases,13423
Benin,2016,Chronic obstructive pulmonary disease,2381
Bhutan,2016,Malignant neoplasms,458
Bhutan,2016,Diabetes mellitus,207
Bhutan,2016,Cardiovascular diseases,1330
Bhutan,2016,Chronic obstructive pulmonary disease,419
Bolivia (Plurinational State of),2016,Malignant neoplasms,7948
Bolivia (Plurinational State of),2016,Diabetes mellitus,2867
Bolivia (Plurinational State of),2016,Cardiovascular diseases,16707
Bolivia (Plurinational State of),2016,Chronic obstructive pulmonary disease,3304
Bosnia and Herzegovina,2016,Malignant neoplasms,7262
Bosnia and Herzegovina,2016,Diabetes mellitus,2552
Bosnia and Herzegovina,2016,Cardiovascular diseases,20279
Bosnia and Herzegovina,2016,Chronic obstructive pulmonary disease,1448
Botswana,2016,Malignant neoplasms,1099
Botswana,2016,Diabetes mellitus,977
Botswana,2016,Cardiovascular diseases,2910
Botswana,2016,Chronic obstructive pulmonary disease,612
Brazil,2016,Malignant neoplasms,233851
Brazil,2016,Diabetes mellitus,65381
Brazil,2016,Cardiovascular diseases,369072
Brazil,2016,Chronic obstructive pulmonary disease,84749
Brunei Darussalam,2016,Malignant neoplasms,402
Brunei Darussalam,2016,Diabetes mellitus,140
Brunei Darussalam,2016,Cardiovascular diseases,472
Brunei Darussalam,2016,Chronic obstructive pulmonary disease,99
Bulgaria,2016,Malignant neoplasms,19367
Bulgaria,2016,Diabetes mellitus,1585
Bulgaria,2016,Cardiovascular diseases,67831
Bulgaria,2016,Chronic obstructive pulmonary disease,4612
Burkina Faso,2016,Malignant neoplasms,7307
Burkina Faso,2016,Diabetes mellitus,2105
Burkina Faso,2016,Cardiovascular diseases,20377
Burkina Faso,2016,Chronic obstructive pulmonary disease,2416
Burundi,2016,Malignant neoplasms,6585
Burundi,2016,Diabetes mellitus,1251
Burundi,2016,Cardiovascular diseases,11079
Burundi,2016,Chronic obstructive pulmonary disease,2005
Cabo Verde,2016,Malignant neoplasms,310
Cabo Verde,2016,Diabetes mellitus,134
Cabo Verde,2016,Cardiovascular diseases,1059
Cabo Verde,2016,Chronic obstructive pulmonary disease,114
Cambodia,2016,Malignant neoplasms,13067
Cambodia,2016,Diabetes mellitus,2192
Cambodia,2016,Cardiovascular diseases,22536
Cambodia,2016,Chronic obstructive pulmonary disease,3817
Cameroon,2016,Malignant neoplasms,11576
Cameroon,2016,Diabetes mellitus,4567
Cameroon,2016,Cardiovascular diseases,28623
Cameroon,2016,Chronic obstructive pulmonary disease,5323
Canada,2016,Malignant neoplasms,78306
Canada,2016,Diabetes mellitus,6941
Canada,2016,Cardiovascular diseases,63683
Canada,2016,Chronic obstructive pulmonary disease,18610
Central African Republic,2016,Malignant neoplasms,2397
Central African Republic,2016,Diabetes mellitus,642
Central African Republic,2016,Cardiovascular diseases,6817
Central African Republic,2016,Chronic obstructive pulmonary disease,1109
Chad,2016,Malignant neoplasms,5325
Chad,2016,Diabetes mellitus,1848
Chad,2016,Cardiovascular diseases,17615
Chad,2016,Chronic obstructive pulmonary disease,3118
Chile,2016,Malignant neoplasms,27958
Chile,2016,Diabetes mellitus,5171
Chile,2016,Cardiovascular diseases,29698
Chile,2016,Chronic obstructive pulmonary disease,7064
China,2016,Malignant neoplasms,2369538
China,2016,Diabetes mellitus,167267
