"iso_code","location","population","popDensity","medianAge","gdp","govt","corruption","healthSecurity","obesity"
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",12.9
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",13.5
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",14
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",14.5
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",15
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",15.5
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",16
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",16.5
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",16.9
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",17.4
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",17.8
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",18.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",18.6
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",19
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",19.3
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",19.6
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",19.9
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",20.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",20.4
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",20.7
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",21
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",21.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",21.5
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",21.7
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",22
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",22.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",22.5
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",22.7
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",22.9
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",23.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",23.4
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",23.6
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",23.8
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",24
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",24.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",24.4
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",24.6
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",24.8
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",25
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",25.2
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",25.4
"AND","Andorra",77265,163.755,NA,NA,"Constitutional monarchy","NI","Least prepared",25.6
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",13.7
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",13.9
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",14
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",14.3
