"","dt","AverageTemperature","Country"
"1",2012-01-01,5.145,"Andorra"
"2",2012-02-01,1.705,"Andorra"
"3",2012-03-01,9.405,"Andorra"
"4",2012-04-01,9.752,"Andorra"
"5",2012-05-01,15.136,"Andorra"
"6",2012-06-01,18.817,"Andorra"
"7",2012-07-01,20.512,"Andorra"
"8",2012-08-01,22.514,"Andorra"
"9",2012-09-01,17.539,"Andorra"
"10",2012-10-01,13.261,"Andorra"
"11",2012-11-01,8.62,"Andorra"
"12",2012-12-01,5.673,"Andorra"
"13",2012-01-01,23.29,"Argentina"
"14",2012-02-01,21.487,"Argentina"
"15",2012-03-01,19.34,"Argentina"
"16",2012-04-01,14.663,"Argentina"
"17",2012-05-01,12.433,"Argentina"
"18",2012-06-01,8.353,"Argentina"
"19",2012-07-01,6.98,"Argentina"
"20",2012-08-01,10.842,"Argentina"
"21",2012-09-01,13.931,"Argentina"
"22",2012-10-01,16.311,"Argentina"
"23",2012-11-01,19.677,"Argentina"
"24",2012-12-01,20.961,"Argentina"
"25",2012-01-01,-2.78,"Armenia"
"26",2012-02-01,-5.479,"Armenia"
"27",2012-03-01,0.363,"Armenia"
"28",2012-04-01,12.004,"Armenia"
"29",2012-05-01,16.084,"Armenia"
"30",2012-06-01,20.418,"Armenia"
"31",2012-07-01,22.252,"Armenia"
"32",2012-08-01,23.687,"Armenia"
"33",2012-09-01,18.592,"Armenia"
"34",2012-10-01,13.265,"Armenia"
"35",2012-11-01,6.766,"Armenia"
"36",2012-12-01,-0.963,"Armenia"
"37",2012-01-01,27.904,"Australia"
"38",2012-02-01,27.2,"Australia"
"39",2012-03-01,24.699,"Australia"
"40",2012-04-01,22.208,"Australia"
"41",2012-05-01,17.762,"Australia"
"42",2012-06-01,14.674,"Australia"
"43",2012-07-01,14.027,"Australia"
"44",2012-08-01,16.408,"Australia"
"45",2012-09-01,20.474,"Australia"
"46",2012-10-01,23.586,"Australia"
"47",2012-11-01,26.935,"Australia"
"48",2012-12-01,28.417,"Australia"
"49",2012-01-01,22.52,"Bahamas"
"50",2012-02-01,23.599,"Bahamas"
"51",2012-03-01,24.291,"Bahamas"
"52",2012-04-01,24.488,"Bahamas"
"53",2012-05-01,26.476,"Bahamas"
"54",2012-06-01,27.932,"Bahamas"
"55",2012-07-01,28.748,"Bahamas"
"56",2012-08-01,28.988,"Bahamas"
"57",2012-09-01,28.259,"Bahamas"
"58",2012-10-01,26.903,"Bahamas"
"59",2012-11-01,23.789,"Bahamas"
"60",2012-12-01,23.804,"Bahamas"
"61",2012-01-01,16.301,"Bahrain"
"62",2012-02-01,17.295,"Bahrain"
"63",2012-03-01,19.899,"Bahrain"
"64",2012-04-01,26.471,"Bahrain"
"65",2012-05-01,33.398,"Bahrain"
"66",2012-06-01,35.773,"Bahrain"
"67",2012-07-01,37.471,"Bahrain"
"68",2012-08-01,36.749,"Bahrain"
"69",2012-09-01,33.648,"Bahrain"
"70",2012-10-01,30.131,"Bahrain"
"71",2012-11-01,24.035,"Bahrain"
"72",2012-12-01,19.181,"Bahrain"
"73",2012-01-01,4.425,"Belgium"
"74",2012-02-01,0.116,"Belgium"
"75",2012-03-01,8.578,"Belgium"
"76",2012-04-01,8.408,"Belgium"
"77",2012-05-01,14.479,"Belgium"
"78",2012-06-01,15.301,"Belgium"
"79",2012-07-01,17.617,"Belgium"
"80",2012-08-01,19.277,"Belgium"
"81",2012-09-01,14.538,"Belgium"
"82",2012-10-01,10.501,"Belgium"
"83",2012-11-01,6.583,"Belgium"
"84",2012-12-01,4.399,"Belgium"
"85",2012-01-01,23.54,"Belize"
"86",2012-02-01,24.673,"Belize"
"87",2012-03-01,25.464,"Belize"
"88",2012-04-01,26.86,"Belize"
"89",2012-05-01,27.61,"Belize"
"90",2012-06-01,27.307,"Belize"
"91",2012-07-01,26.806,"Belize"
"92",2012-08-01,26.893,"Belize"
"93",2012-09-01,27.05,"Belize"
"94",2012-10-01,25.326,"Belize"
"95",2012-11-01,23.542,"Belize"
"96",2012-12-01,23.742,"Belize"
"97",2012-01-01,22.889,"Bolivia"
"98",2012-02-01,22.507,"Bolivia"
"99",2012-03-01,22.394,"Bolivia"
"100",2012-04-01,21.71,"Bolivia"
"101",2012-05-01,19.898,"Bolivia"
"102",2012-06-01,18.334,"Bolivia"
"103",2012-07-01,17.679,"Bolivia"
"104",2012-08-01,20.173,"Bolivia"
"105",2012-09-01,22.869,"Bolivia"
"106",2012-10-01,23.905,"Bolivia"
"107",2012-11-01,23.592,"Bolivia"
"108",2012-12-01,23.336,"Bolivia"
"109",2012-01-01,25.399,"Brazil"
"110",2012-02-01,25.653,"Brazil"
"111",2012-03-01,25.783,"Brazil"
"112",2012-04-01,25.675,"Brazil"
"113",2012-05-01,24.891,"Brazil"
"114",2012-06-01,24.578,"Brazil"
"115",2012-07-01,24.171,"Brazil"
"116",2012-08-01,25.349,"Brazil"
"117",2012-09-01,26.728,"Brazil"
"118",2012-10-01,27.12,"Brazil"
"119",2012-11-01,26.683,"Brazil"
"120",2012-12-01,26.575,"Brazil"
"121",2012-01-01,-20.472,"Canada"
"122",2012-02-01,-16.499,"Canada"
"123",2012-03-01,-13.599,"Canada"
