"","dt","Country","Temp_range"
"1",2012-01-01,"Andorra","0|10"
"2",2012-02-01,"Andorra","0|10"
"3",2012-03-01,"Andorra","0|10"
"4",2012-04-01,"Andorra","0|10"
"5",2012-05-01,"Andorra","10|20"
"6",2012-06-01,"Andorra","10|20"
"7",2012-07-01,"Andorra","20|30"
"8",2012-08-01,"Andorra","20|30"
"9",2012-09-01,"Andorra","10|20"
"10",2012-10-01,"Andorra","10|20"
"11",2012-11-01,"Andorra","0|10"
"12",2012-12-01,"Andorra","0|10"
"13",2012-01-01,"Argentina","20|30"
"14",2012-02-01,"Argentina","20|30"
"15",2012-03-01,"Argentina","10|20"
"16",2012-04-01,"Argentina","10|20"
"17",2012-05-01,"Argentina","10|20"
"18",2012-06-01,"Argentina","0|10"
"19",2012-07-01,"Argentina","0|10"
"20",2012-08-01,"Argentina","10|20"
"21",2012-09-01,"Argentina","10|20"
"22",2012-10-01,"Argentina","10|20"
"23",2012-11-01,"Argentina","10|20"
"24",2012-12-01,"Argentina","20|30"
"25",2012-01-01,"Armenia","-10|0"
"26",2012-02-01,"Armenia","-10|0"
"27",2012-03-01,"Armenia","0|10"
"28",2012-04-01,"Armenia","10|20"
"29",2012-05-01,"Armenia","10|20"
"30",2012-06-01,"Armenia","20|30"
"31",2012-07-01,"Armenia","20|30"
"32",2012-08-01,"Armenia","20|30"
"33",2012-09-01,"Armenia","10|20"
"34",2012-10-01,"Armenia","10|20"
"35",2012-11-01,"Armenia","0|10"
"36",2012-12-01,"Armenia","-10|0"
"37",2012-01-01,"Australia","20|30"
"38",2012-02-01,"Australia","20|30"
"39",2012-03-01,"Australia","20|30"
"40",2012-04-01,"Australia","20|30"
"41",2012-05-01,"Australia","10|20"
"42",2012-06-01,"Australia","10|20"
"43",2012-07-01,"Australia","10|20"
"44",2012-08-01,"Australia","10|20"
"45",2012-09-01,"Australia","20|30"
"46",2012-10-01,"Australia","20|30"
"47",2012-11-01,"Australia","20|30"
"48",2012-12-01,"Australia","20|30"
"49",2012-01-01,"Bahamas","20|30"
"50",2012-02-01,"Bahamas","20|30"
"51",2012-03-01,"Bahamas","20|30"
"52",2012-04-01,"Bahamas","20|30"
"53",2012-05-01,"Bahamas","20|30"
"54",2012-06-01,"Bahamas","20|30"
"55",2012-07-01,"Bahamas","20|30"
"56",2012-08-01,"Bahamas","20|30"
"57",2012-09-01,"Bahamas","20|30"
"58",2012-10-01,"Bahamas","20|30"
"59",2012-11-01,"Bahamas","20|30"
"60",2012-12-01,"Bahamas","20|30"
"61",2012-01-01,"Bahrain","10|20"
"62",2012-02-01,"Bahrain","10|20"
"63",2012-03-01,"Bahrain","10|20"
"64",2012-04-01,"Bahrain","20|30"
"65",2012-05-01,"Bahrain","30|40"
"66",2012-06-01,"Bahrain","30|40"
"67",2012-07-01,"Bahrain","30|40"
"68",2012-08-01,"Bahrain","30|40"
"69",2012-09-01,"Bahrain","30|40"
"70",2012-10-01,"Bahrain","30|40"
"71",2012-11-01,"Bahrain","20|30"
"72",2012-12-01,"Bahrain","10|20"
"73",2012-01-01,"Belgium","0|10"
"74",2012-02-01,"Belgium","0|10"
"75",2012-03-01,"Belgium","0|10"
"76",2012-04-01,"Belgium","0|10"
"77",2012-05-01,"Belgium","10|20"
"78",2012-06-01,"Belgium","10|20"
"79",2012-07-01,"Belgium","10|20"
"80",2012-08-01,"Belgium","10|20"
"81",2012-09-01,"Belgium","10|20"
"82",2012-10-01,"Belgium","10|20"
"83",2012-11-01,"Belgium","0|10"
"84",2012-12-01,"Belgium","0|10"
"85",2012-01-01,"Belize","20|30"
"86",2012-02-01,"Belize","20|30"
"87",2012-03-01,"Belize","20|30"
"88",2012-04-01,"Belize","20|30"
"89",2012-05-01,"Belize","20|30"
"90",2012-06-01,"Belize","20|30"
"91",2012-07-01,"Belize","20|30"
"92",2012-08-01,"Belize","20|30"
"93",2012-09-01,"Belize","20|30"
"94",2012-10-01,"Belize","20|30"
"95",2012-11-01,"Belize","20|30"
"96",2012-12-01,"Belize","20|30"
"97",2012-01-01,"Bolivia","20|30"
"98",2012-02-01,"Bolivia","20|30"
"99",2012-03-01,"Bolivia","20|30"
"100",2012-04-01,"Bolivia","20|30"
"101",2012-05-01,"Bolivia","10|20"
"102",2012-06-01,"Bolivia","10|20"
"103",2012-07-01,"Bolivia","10|20"
"104",2012-08-01,"Bolivia","20|30"
"105",2012-09-01,"Bolivia","20|30"
"106",2012-10-01,"Bolivia","20|30"
"107",2012-11-01,"Bolivia","20|30"
"108",2012-12-01,"Bolivia","20|30"
"109",2012-01-01,"Brazil","20|30"
"110",2012-02-01,"Brazil","20|30"
"111",2012-03-01,"Brazil","20|30"
"112",2012-04-01,"Brazil","20|30"
"113",2012-05-01,"Brazil","20|30"
"114",2012-06-01,"Brazil","20|30"
"115",2012-07-01,"Brazil","20|30"
"116",2012-08-01,"Brazil","20|30"
"117",2012-09-01,"Brazil","20|30"
"118",2012-10-01,"Brazil","20|30"
"119",2012-11-01,"Brazil","20|30"
