,"2016","2016","2016"
,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)"
"Country","Both sexes","Male","Female"
"Afghanistan","4.5 [2.8-6.7]","2.7 [1.1-5.4]","6.2 [3.5-10.2]"
"Albania","22.3 [17.4-27.4]","21.9 [14.9-29.4]","22.8 [16.1-30.1]"
"Algeria","26.6 [21.7-32.0]","19.4 [13.2-26.5]","34.0 [26.6-41.9]"
"Andorra","28.0 [22.0-34.0]","27.9 [19.6-36.8]","28.1 [19.7-36.8]"
"Angola","6.8 [4.2-10.3]","3.5 [1.3-6.8]","10.0 [5.5-16.2]"
"Antigua and Barbuda","19.1 [13.9-24.8]","11.7 [6.4-18.6]","26.3 [18.0-35.7]"
"Argentina","28.5 [23.7-33.7]","27.4 [20.4-35.0]","29.6 [23.0-36.6]"
"Armenia","20.9 [16.3-25.7]","17.2 [11.2-24.1]","24.5 [17.7-31.6]"
"Australia","30.4 [26.5-34.4]","30.7 [25.2-36.5]","30.1 [24.6-35.8]"
"Austria","21.9 [17.5-26.8]","23.4 [16.7-30.9]","20.6 [14.6-26.9]"
"Azerbaijan","19.9 [15.3-24.9]","15.7 [9.8-22.7]","23.9 [17.0-31.3]"
"Bahamas","32.1 [26.1-38.5]","24.8 [16.5-33.7]","39.0 [29.9-48.3]"
"Bahrain","28.7 [23.5-34.2]","24.9 [17.7-32.1]","36.1 [28.3-44.0]"
"Bangladesh","3.4 [2.2-4.7]","2.2 [1.0-3.9]","4.6 [2.8-6.9]"
"Barbados","24.8 [19.8-30.2]","15.6 [10.0-22.6]","33.8 [25.9-41.9]"
"Belarus","26.6 [21.2-32.4]","23.5 [16.2-31.1]","29.1 [21.2-37.5]"
"Belgium","24.5 [20.7-28.5]","25.1 [19.8-30.9]","23.9 [18.5-29.4]"
"Belize","22.4 [17.5-27.9]","15.4 [9.6-22.7]","29.4 [21.5-37.9]"
"Benin","8.2 [6.0-10.8]","4.2 [2.1-7.0]","12.2 [8.5-16.5]"
"Bhutan","5.8 [3.8-8.2]","4.5 [2.2-7.8]","7.4 [4.3-11.4]"
"Bolivia (Plurinational State of)","18.7 [14.2-23.7]","13.4 [7.8-20.5]","23.9 [17.2-31.2]"
"Bosnia and Herzegovina","19.4 [15.1-24.1]","18.1 [12.3-24.7]","20.6 [14.5-27.5]"
"Botswana","16.1 [12.3-20.3]","7.0 [3.8-11.2]","25.5 [18.6-33.0]"
"Brazil","22.3 [18.9-25.9]","18.5 [14.1-23.5]","25.9 [20.8-31.2]"
"Brunei Darussalam","14.7 [11.0-18.9]","13.0 [8.2-18.9]","16.4 [11.1-22.5]"
"Bulgaria","27.4 [21.8-33.3]","27.5 [19.7-35.6]","27.4 [19.6-35.8]"
"Burkina Faso","4.5 [3.1-6.3]","2.2 [1.0-4.0]","6.8 [4.4-9.9]"
"Burundi","4.4 [2.8-6.6]","1.8 [0.7-3.8]","7.0 [4.1-10.8]"
"Cabo Verde","10.6 [7.5-14.0]","6.3 [3.2-10.3]","14.9 [9.8-20.9]"
"Cambodia","3.5 [2.3-5.1]","2.5 [1.1-4.7]","4.5 [2.6-6.9]"
"Cameroon","9.5 [7.1-12.2]","5.2 [2.8-8.3]","13.9 [10.0-18.5]"
"Canada","31.3 [27.4-35.3]","31.2 [25.6-37.0]","31.5 [26.3-37.0]"
"Central African Republic","6.3 [4.0-9.3]","3.2 [1.4-6.1]","9.3 [5.3-14.8]"
"Chad","4.8 [3.3-6.8]","2.6 [1.2-4.7]","7.0 [4.4-10.4]"
"Chile","28.8 [24.2-33.7]","25.5 [19.0-32.3]","32.1 [25.4-39.1]"
"China","6.6 [5.1-8.4]","6.2 [4.1-8.8]","7.1 [4.9-9.8]"
"Colombia","22.1 [18.3-26.2]","17.3 [12.3-23.0]","26.7 [21.1-32.5]"
"Comoros","6.9 [4.7-9.6]","3.0 [1.4-5.5]","10.8 [6.9-15.5]"
"Congo","8.4 [5.8-11.5]","4.9 [2.3-8.7]","11.8 [7.5-17.1]"
"Cook Islands","55.3 [49.5-60.9]","52.0 [43.7-60.1]","58.6 [50.6-66.3]"
"Costa Rica","25.7 [21.2-30.6]","21.0 [14.8-27.7]","30.4 [23.8-37.5]"
"Côte d'Ivoire","9.0 [6.7-11.9]","5.2 [2.8-8.6]","13.1 [8.9-17.9]"
"Croatia","27.1 [22.4-32.1]","26.0 [19.4-33.0]","28.2 [21.5-35.4]"
