"year","week","region","country","iso_code","date","totalCases","tcpm","casesSmooth","totalDeaths","deathSmooth","population","popDensity","medianAge","gdp","govt","corruption","healthSecurity"
"2020","03","Africa","South Africa","ZAF",2020-01-23,NA,NA,NA,NA,NA,59308690,46.754,27.3,12294.876,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Asia","Armenia","ARM",2020-01-23,NA,NA,NA,NA,NA,2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared"
"2020","03","Asia","Azerbaijan","AZE",2020-01-23,NA,NA,NA,NA,NA,10139175,119.309,32.4,15847.419,"Semipresidential republic","Highly corrupt","More prepared"
"2020","03","Asia","Bahrain","BHR",2020-01-23,NA,NA,NA,NA,NA,1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared"
"2020","03","Asia","Georgia","GEO",2020-01-23,NA,NA,NA,NA,NA,3989175,65.032,38.7,9745.079,"Semipresidential republic","Less corrupt","More prepared"
"2020","03","Asia","Iraq","IRQ",2020-01-23,NA,NA,NA,NA,NA,40222503,88.125,20,15663.986,"Parlamentary republic","Highly corrupt","Least prepared"
"2020","03","Asia","Israel","ISR",2020-01-23,NA,NA,NA,NA,NA,8655541,402.606,30.6,33132.32,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Asia","Jordan","JOR",2020-01-23,NA,NA,NA,NA,NA,10203140,109.285,23.2,8337.49,"Constitutional monarchy","Highly corrupt","More prepared"
"2020","03","Asia","Kuwait","KWT",2020-01-23,NA,NA,NA,NA,NA,4270563,232.128,33.7,65530.537,"Constitutional monarchy","Highly corrupt","More prepared"
"2020","03","Asia","Lebanon","LBN",2020-01-23,NA,NA,NA,NA,NA,6825442,594.561,31.1,13367.565,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Asia","Oman","OMN",2020-01-23,NA,NA,NA,NA,NA,5106622,14.98,30.7,37960.709,"Absolut monarchy","Less corrupt","More prepared"
"2020","03","Asia","Qatar","QAT",2020-01-23,NA,NA,NA,NA,NA,2881060,227.322,31.9,116935.6,"Absolut monarchy","Less corrupt","More prepared"
"2020","03","Asia","United Arab Emirates","ARE",2020-01-23,NA,NA,NA,NA,NA,9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared"
"2020","03","Europe","Albania","ALB",2020-01-23,NA,NA,NA,NA,NA,2877800,104.871,38,11803.431,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Austria","AUT",2020-01-23,NA,NA,NA,NA,NA,9006400,106.749,44.4,45436.686,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Europe","Belarus","BLR",2020-01-23,NA,NA,NA,NA,NA,9449321,46.858,40.3,17167.967,"Presidential republic","Highly corrupt","More prepared"
"2020","03","Europe","Belgium","BEL",2020-01-23,NA,NA,NA,NA,NA,11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared"
"2020","03","Europe","Bosnia and Herzegovina","BIH",2020-01-23,NA,NA,NA,NA,NA,3280815,68.496,42.5,11713.895,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Bulgaria","BGR",2020-01-23,NA,NA,NA,NA,NA,6948445,65.18,44.7,18563.307,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Croatia","HRV",2020-01-23,NA,NA,NA,NA,NA,4105268,73.726,44,22669.797,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Czech Republic","CZE",2020-01-23,NA,NA,NA,NA,NA,10708982,137.176,43.3,32605.906,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Europe","Denmark","DNK",2020-01-23,NA,NA,NA,NA,NA,5792203,136.52,42.3,46682.515,"Constitutional monarchy","Less corrupt","Most prepared"
"2020","03","Europe","France","FRA",2020-01-23,NA,NA,NA,NA,NA,65273512,122.578,42,38605.671,"Semipresidential republic","Less corrupt","Most prepared"
"2020","03","Europe","Germany","DEU",2020-01-23,NA,NA,NA,NA,NA,83783945,237.016,46.6,45229.245,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Europe","Hungary","HUN",2020-01-23,NA,NA,NA,NA,NA,9660350,108.043,43.4,26777.561,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Ireland","IRL",2020-01-23,NA,NA,NA,NA,NA,4937796,69.874,38.7,67335.293,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Europe","Italy","ITA",2020-01-23,NA,NA,NA,NA,NA,60461828,205.859,47.9,35220.084,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Europe","Lithuania","LTU",2020-01-23,NA,NA,NA,NA,NA,2722291,45.135,43.5,29524.265,"Semipresidential republic","Less corrupt","More prepared"
"2020","03","Europe","Moldova","MDA",2020-01-23,NA,NA,NA,NA,NA,4033963,123.655,37.6,5189.972,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Netherlands","NLD",2020-01-23,NA,NA,NA,NA,NA,17134873,508.544,43.2,48472.545,"Constitutional monarchy","Less corrupt","Most prepared"
"2020","03","Europe","Poland","POL",2020-01-23,NA,NA,NA,NA,NA,37846605,124.027,41.8,27216.445,"Parlamentary republic","Less corrupt","More prepared"
"2020","03","Europe","Portugal","PRT",2020-01-23,NA,NA,NA,NA,NA,10196707,112.371,46.2,27936.896,"Semipresidential republic","Less corrupt","More prepared"
"2020","03","Europe","Romania","ROU",2020-01-23,NA,NA,NA,NA,NA,19237682,85.129,43,23313.199,"Semipresidential republic","Highly corrupt","More prepared"
"2020","03","Europe","Serbia","SRB",2020-01-23,NA,NA,NA,NA,NA,6804596,80.291,41.2,14048.881,"Parlamentary republic","Highly corrupt","More prepared"
"2020","03","Europe","Slovenia","SVN",2020-01-23,NA,NA,NA,NA,NA,2078932,102.619,44.5,31400.84,"Parlamentary republic","Less corrupt","Most prepared"
"2020","03","Europe","Spain","ESP",2020-01-23,NA,NA,NA,NA,NA,46754783,93.105,45.5,34272.36,"Constitutional monarchy","Less corrupt","More prepared"
"2020","03","Europe","Sweden","SWE",2020-01-23,NA,NA,NA,NA,NA,10099270,24.718,41,46949.283,"Constitutional monarchy","Less corrupt","Most prepared"
"2020","03","Europe","Switzerland","CHE",2020-01-23,NA,NA,NA,NA,NA,8654618,214.243,43.1,57410.166,"Parlamentary republic","Less corrupt","Most prepared"
"2020","03","Europe","Ukraine","UKR",2020-01-23,NA,NA,NA,NA,NA,43733759,77.39,41.4,7894.393,"Semipresidential republic","Highly corrupt","More prepared"
"2020","03","Europe","United Kingdom","GBR",2020-01-23,NA,NA,NA,NA,NA,67886004,272.898,40.8,39753.244,"Constitutional monarchy","Less corrupt","Most prepared"
"2020","03","North America","Costa Rica","CRI",2020-01-23,NA,NA,NA,NA,NA,5094114,96.079,33.6,15524.995,"Presidential republic","Less corrupt","More prepared"
"2020","03","North America","Dominican Republic","DOM",2020-01-23,NA,NA,NA,NA,NA,10847904,222.873,27.6,14600.861,"Presidential republic","Highly corrupt","More prepared"
"2020","03","North America","Panama","PAN",2020-01-23,NA,NA,NA,NA,NA,4314768,55.133,29.7,22267.037,"Presidential republic","Highly corrupt","More prepared"
"2020","03","North America","United States","USA",2020-01-22,5,0.015,NA,NA,NA,331002647,35.608,38.3,54225.446,"Presidential republic","Less corrupt","Most prepared"
"2020","03","South America","Argentina","ARG",2020-01-23,NA,NA,NA,NA,NA,45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared"
"2020","03","South America","Bolivia","BOL",2020-01-23,NA,NA,NA,NA,NA,11673029,10.202,25.4,6885.829,"Presidential republic","Highly corrupt","More prepared"
"2020","03","South America","Brazil","BRA",2020-01-23,NA,NA,NA,NA,NA,212559409,25.04,33.5,14103.452,"Presidential republic","Highly corrupt","More prepared"
"2020","03","South America","Chile","CHL",2020-01-23,NA,NA,NA,NA,NA,19116209,24.282,35.4,22767.037,"Presidential republic","Less corrupt","More prepared"
"2020","03","South America","Colombia","COL",2020-01-23,NA,NA,NA,NA,NA,50882884,44.223,32.2,13254.949,"Presidential republic","Highly corrupt","More prepared"
"2020","03","South America","Peru","PER",2020-01-23,NA,NA,NA,NA,NA,32971846,25.129,29.1,12236.706,"Presidential republic","Highly corrupt","More prepared"
"2020","04","Africa","South Africa","ZAF",2020-01-27,NA,NA,NA,NA,NA,59308690,46.754,27.3,12294.876,"Parlamentary republic","Highly corrupt","More prepared"
"2020","04","Asia","Armenia","ARM",2020-01-27,NA,NA,NA,NA,NA,2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared"
"2020","04","Asia","Azerbaijan","AZE",2020-01-27,NA,NA,NA,NA,NA,10139175,119.309,32.4,15847.419,"Semipresidential republic","Highly corrupt","More prepared"
"2020","04","Asia","Bahrain","BHR",2020-01-27,NA,NA,NA,NA,NA,1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared"
"2020","04","Asia","Georgia","GEO",2020-01-27,NA,NA,NA,NA,NA,3989175,65.032,38.7,9745.079,"Semipresidential republic","Less corrupt","More prepared"
"2020","04","Asia","Iraq","IRQ",2020-01-27,NA,NA,NA,NA,NA,40222503,88.125,20,15663.986,"Parlamentary republic","Highly corrupt","Least prepared"
"2020","04","Asia","Israel","ISR",2020-01-27,NA,NA,NA,NA,NA,8655541,402.606,30.6,33132.32,"Parlamentary republic","Less corrupt","More prepared"
"2020","04","Asia","Jordan","JOR",2020-01-27,NA,NA,NA,NA,NA,10203140,109.285,23.2,8337.49,"Constitutional monarchy","Highly corrupt","More prepared"
"2020","04","Asia","Kuwait","KWT",2020-01-27,NA,NA,NA,NA,NA,4270563,232.128,33.7,65530.537,"Constitutional monarchy","Highly corrupt","More prepared"
"2020","04","Asia","Lebanon","LBN",2020-01-27,NA,NA,NA,NA,NA,6825442,594.561,31.1,13367.565,"Parlamentary republic","Highly corrupt","More prepared"
"2020","04","Asia","Oman","OMN",2020-01-27,NA,NA,NA,NA,NA,5106622,14.98,30.7,37960.709,"Absolut monarchy","Less corrupt","More prepared"
"2020","04","Asia","Qatar","QAT",2020-01-27,NA,NA,NA,NA,NA,2881060,227.322,31.9,116935.6,"Absolut monarchy","Less corrupt","More prepared"
"2020","04","Asia","United Arab Emirates","ARE",2020-01-27,NA,NA,NA,NA,NA,9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared"
"2020","04","Europe","Albania","ALB",2020-01-27,NA,NA,NA,NA,NA,2877800,104.871,38,11803.431,"Parlamentary republic","Highly corrupt","More prepared"
"2020","04","Europe","Austria","AUT",2020-01-27,NA,NA,NA,NA,NA,9006400,106.749,44.4,45436.686,"Parlamentary republic","Less corrupt","More prepared"
"2020","04","Europe","Belarus","BLR",2020-01-27,NA,NA,NA,NA,NA,9449321,46.858,40.3,17167.967,"Presidential republic","Highly corrupt","More prepared"
