COUNTRY;Continent;Government_Type;Corruption_preception;Development_Status;GDP_per_unit_of_energy_use_constant;Population_total;;;;;;;;;
Afghanistan;Asia;Presidential republic;Highly corrupt;Developing economies;NA;33370794;;;;;;;;;
Albania;Europe;Parlamentary republic;Highly corrupt;Transition economies;13,2363361;2889104;;;;;;;;;
Algeria;Africa;Presidential republic;Highly corrupt;Developing economies;10,21273579;38923687;;;;;;;;;
American Samoa;Oceania;Presidential republic;Less corrupt;Developing economies;NA;55791;;;;;;;;;
Andorra;Europe;Constitutional monarchy;NI;Developed economies;NA;79213;;;;;;;;;
Angola;Africa;Presidential republic;Highly corrupt;Developing economies;12,50998069;26941779;;;;;;;;;
Antigua and Barbuda;America;Constitutional monarchy;NI;Developing economies;NA;92562;;;;;;;;;
Argentina;America;Presidential republic;Highly corrupt;Developing economies;9,327942057;42669500;;;;;;;;;
Armenia;Asia;Presidential republic;Highly corrupt;Transition economies;7,829626859;2912403;;;;;;;;;
Aruba;America;Constitutional monarchy;Less corrupt;Developing economies;NA;103774;;;;;;;;;
Australia;Oceania;Constitutional monarchy;Less corrupt;Developed economies;8,182513177;23475686;;;;;;;;;
Austria;Europe;Parlamentary republic;Less corrupt;Developed economies;11,75738453;8546356;;;;;;;;;
Azerbaijan;Asia;Semipresidential republic;Highly corrupt;Transition economies;11,22016738;9535079;;;;;;;;;
Bahamas, The;America;Constitutional monarchy;Less corrupt;Developing economies;NA;370633;;;;;;;;;
Bahrain;Asia;Constitutional monarchy;Highly corrupt;Developing economies;4,137815339;1336075;;;;;;;;;
Bangladesh;Asia;Parlamentary republic;Highly corrupt;Developing economies;13,37876063;154520167;;;;;;;;;
Barbados;America;Constitutional monarchy;Less corrupt;Developing economies;NA;284825;;;;;;;;;
Belarus;Europe;Presidential republic;Highly corrupt;Transition economies;6,123687527;9474511;;;;;;;;;
Belgium;Europe;Constitutional monarchy;Less corrupt;Developed economies;8,803152074;11209057;;;;;;;;;
Belize;America;Constitutional monarchy;NI;Developing economies;NA;353366;;;;;;;;;
Benin;Africa;Presidential republic;Highly corrupt;Developing economies;4,801097938;10286842;;;;;;;;;
Bermuda;America;Presidential republic;NI;Developed economies;NA;65139;;;;;;;;;
Bhutan;Asia;Constitutional monarchy;Less corrupt;Developing economies;NA;719056;;;;;;;;;
Bolivia;America;Presidential republic;Highly corrupt;Developing economies;8,018245733;10706517;;;;;;;;;
Bosnia and Herzegovina;Europe;Parlamentary republic;Highly corrupt;Developing economies;4,799202951;3482104;;;;;;;;;
Botswana;Africa;Parlamentary republic;Less corrupt;Developing economies;12,43640101;2088614;;;;;;;;;
Brazil;America;Presidential republic;Highly corrupt;Developing economies;10,35134832;202763735;;;;;;;;;
British Virgin Islands;America;Constitutional monarchy;Less corrupt;Developing economies;NA;28989;;;;;;;;;
Brunei Darussalam;Asia;Absolut monarchy;Less corrupt;Developing economies;8,8144597;409769;;;;;;;;;
Bulgaria;Europe;Parlamentary republic;Highly corrupt;Developing economies;6,588623049;7223938;;;;;;;;;
Burkina Faso;Africa;Semipresidential republic;Highly corrupt;Developing economies;NA;17586017;;;;;;;;;
