COUNTRY;Government_Type;Corruption_preception;;;;;;;;;
Afghanistan;Presidential republic;Highly corrupt;;;;;;;;;
Albania;Parlamentary republic;Highly corrupt;;;;;;;;;
Algeria;Presidential republic;Highly corrupt;;;;;;;;;
American Samoa;Presidential republic;Less corrupt;;;;;;;;;
Andorra;Constitutional monarchy;NI;;;;;;;;;
Angola;Presidential republic;Highly corrupt;;;;;;;;;
Antigua and Barbuda;Constitutional monarchy;NI;;;;;;;;;
Argentina;Presidential republic;Highly corrupt;;;;;;;;;
Armenia;Presidential republic;Highly corrupt;;;;;;;;;
Aruba;Constitutional monarchy;Less corrupt;;;;;;;;;
Australia;Constitutional monarchy;Less corrupt;;;;;;;;;
Austria;Parlamentary republic;Less corrupt;;;;;;;;;
Azerbaijan;Semipresidential republic;Highly corrupt;;;;;;;;;
Bahamas, The;Constitutional monarchy;Less corrupt;;;;;;;;;
Bahrain;Constitutional monarchy;Highly corrupt;;;;;;;;;
Bangladesh;Parlamentary republic;Highly corrupt;;;;;;;;;
Barbados;Constitutional monarchy;Less corrupt;;;;;;;;;
Belarus;Presidential republic;Highly corrupt;;;;;;;;;
Belgium;Constitutional monarchy;Less corrupt;;;;;;;;;
Belize;Constitutional monarchy;NI;;;;;;;;;
Benin;Presidential republic;Highly corrupt;;;;;;;;;
Bermuda;Presidential republic;NI;;;;;;;;;
Bhutan;Constitutional monarchy;Less corrupt;;;;;;;;;
Bolivia;Presidential republic;Highly corrupt;;;;;;;;;
Bosnia and Herzegovina;Parlamentary republic;Highly corrupt;;;;;;;;;
Botswana;Parlamentary republic;Less corrupt;;;;;;;;;
Brazil;Presidential republic;Highly corrupt;;;;;;;;;
British Virgin Islands;Constitutional monarchy;Less corrupt;;;;;;;;;
Brunei Darussalam;Absolut monarchy;Less corrupt;;;;;;;;;
Bulgaria;Parlamentary republic;Highly corrupt;;;;;;;;;
Burkina Faso;Semipresidential republic;Highly corrupt;;;;;;;;;
Burundi;Presidential republic;Highly corrupt;;;;;;;;;
Cabo Verde;Semipresidential republic;Less corrupt;;;;;;;;;
Cambodia;Constitutional monarchy;Highly corrupt;;;;;;;;;
Cameroon;Presidential republic;Highly corrupt;;;;;;;;;
Canada;Constitutional monarchy;Less corrupt;;;;;;;;;
Cayman Islands;Constitutional monarchy;Less corrupt;;;;;;;;;
Central African Republic;Presidential republic;Highly corrupt;;;;;;;;;
Chad;Presidential republic;Highly corrupt;;;;;;;;;
Channel Islands;Constitutional monarchy;Less corrupt;;;;;;;;;
Chile;Presidential republic;Less corrupt;;;;;;;;;
China;Communist state;Less corrupt;;;;;;;;;
Colombia;Presidential republic;Highly corrupt;;;;;;;;;
Comoros;Presidential republic;Highly corrupt;;;;;;;;;
Congo, Dem. Rep.;Presidential republic;Highly corrupt;;;;;;;;;
Congo, Rep.;Semipresidential republic;Highly corrupt;;;;;;;;;
Costa Rica;Presidential republic;Less corrupt;;;;;;;;;
Cote d'Ivoire;Presidential republic;Highly corrupt;;;;;;;;;
Croatia;Parlamentary republic;Highly corrupt;;;;;;;;;
Cuba;Communist state;Highly corrupt;;;;;;;;;
Curacao;Constitutional monarchy;Less corrupt;;;;;;;;;
Cyprus;Presidential republic;Less corrupt;;;;;;;;;
Czech Republic;Parlamentary republic;Less corrupt;;;;;;;;;
Denmark;Constitutional monarchy;Less corrupt;;;;;;;;;
Djibouti;Presidential republic;Highly corrupt;;;;;;;;;
Dominica;Parlamentary republic;Less corrupt;;;;;;;;;
Dominican Republic;Presidential republic;Highly corrupt;;;;;;;;;
Ecuador;Presidential republic;Highly corrupt;;;;;;;;;
Egypt, Arab Rep.;Semipresidential republic;Highly corrupt;;;;;;;;;
El Salvador;Presidential republic;Highly corrupt;;;;;;;;;
Equatorial Guinea;Presidential republic;Highly corrupt;;;;;;;;;
Eritrea;Presidential republic;Highly corrupt;;;;;;;;;
Estonia;Parlamentary republic;Less corrupt;;;;;;;;;
Eswatini;Absolut monarchy;NI;;;;;;;;;
Ethiopia;Parlamentary republic;Highly corrupt;;;;;;;;;
Faroe Islands;Constitutional monarchy;Less corrupt;;;;;;;;;
Fiji;Parlamentary republic;NI;;;;;;;;;
Finland;Parlamentary republic;Less corrupt;;;;;;;;;
France;Semipresidential republic;Less corrupt;;;;;;;;;
French Polynesia;Semipresidential republic;Less corrupt;;;;;;;;;
Gabon;Presidential republic;Highly corrupt;;;;;;;;;
Gambia, The;Presidential republic;Highly corrupt;;;;;;;;;
Georgia;Semipresidential republic;Less corrupt;;;;;;;;;
Germany;Parlamentary republic;Less corrupt;;;;;;;;;
Ghana;Presidential republic;Highly corrupt;;;;;;;;;
Gibraltar;Constitutional monarchy;Less corrupt;;;;;;;;;
Greece;Parlamentary republic;Highly corrupt;;;;;;;;;
Greenland;Constitutional monarchy;Less corrupt;;;;;;;;;
Grenada;Constitutional monarchy;Less corrupt;;;;;;;;;
Guam;Presidential republic;Less corrupt;;;;;;;;;
Guatemala;Presidential republic;Highly corrupt;;;;;;;;;
Guinea;Presidential republic;Highly corrupt;;;;;;;;;
Guinea-Bissau;Semipresidential republic;Highly corrupt;;;;;;;;;
Guyana;Presidential republic;Highly corrupt;;;;;;;;;
Haiti;Semipresidential republic;Highly corrupt;;;;;;;;;
Honduras;Presidential republic;Highly corrupt;;;;;;;;;
Hong Kong SAR, China;Presidential limited democracy;Less corrupt;;;;;;;;;
Hungary;Parlamentary republic;Highly corrupt;;;;;;;;;
Iceland;Parlamentary republic;Less corrupt;;;;;;;;;
India;Parlamentary republic;Highly corrupt;;;;;;;;;
Indonesia;Presidential republic;Highly corrupt;;;;;;;;;
Iran, Islamic Rep.;Islamic Presidential Republic;Highly corrupt;;;;;;;;;
Iraq;Parlamentary republic;Highly corrupt;;;;;;;;;
Ireland;Parlamentary republic;Less corrupt;;;;;;;;;
Isle of Man;Constitutional monarchy;Less corrupt;;;;;;;;;
Israel;Parlamentary republic;Less corrupt;;;;;;;;;
Italy;Parlamentary republic;Less corrupt;;;;;;;;;
Jamaica;Constitutional monarchy;Highly corrupt;;;;;;;;;
Japan;Constitutional monarchy;Less corrupt;;;;;;;;;
Jordan;Constitutional monarchy;Highly corrupt;;;;;;;;;
Kazakhstan;Presidential republic;Highly corrupt;;;;;;;;;
Kenya;Presidential republic;Highly corrupt;;;;;;;;;
Kiribati;Parlamentary republic;NI;;;;;;;;;
Korea, Dem. People’s Rep.;Dictatorship;Highly corrupt;;;;;;;;;
Korea, Rep.;Presidential republic;Less corrupt;;;;;;;;;
Kosovo;Presidential republic;Highly corrupt;;;;;;;;;
Kuwait;Constitutional monarchy;Highly corrupt;;;;;;;;;
Kyrgyz Republic;Parlamentary republic;Highly corrupt;;;;;;;;;
Lao PDR;Communist state;Highly corrupt;;;;;;;;;
Latvia;Parlamentary republic;Less corrupt;;;;;;;;;
Lebanon;Parlamentary republic;Highly corrupt;;;;;;;;;
Lesotho;Constitutional monarchy;Highly corrupt;;;;;;;;;
Liberia;Presidential republic;Highly corrupt;;;;;;;;;
Libya;In Transition (provisional government);Highly corrupt;;;;;;;;;
Liechtenstein;Constitutional monarchy;NI;;;;;;;;;
Lithuania;Semipresidential republic;Less corrupt;;;;;;;;;
Luxembourg;Constitutional monarchy;Less corrupt;;;;;;;;;
Macao SAR, China;Semipresidential republic;Highly corrupt;;;;;;;;;
Madagascar;Semipresidential republic;Highly corrupt;;;;;;;;;
Malawi;Presidential republic;Highly corrupt;;;;;;;;;
Malaysia;Constitutional monarchy;Less corrupt;;;;;;;;;
Maldives;Presidential republic;Highly corrupt;;;;;;;;;
Mali;Semipresidential republic;Highly corrupt;;;;;;;;;
Malta;Parlamentary republic;Less corrupt;;;;;;;;;
Marshall Islands;Parlamentary republic;NI;;;;;;;;;
Mauritania;Islamic Semipresidential Republic;Highly corrupt;;;;;;;;;
Mauritius;Parlamentary republic;Less corrupt;;;;;;;;;
Mexico;Presidential republic;Highly corrupt;;;;;;;;;
Micronesia, Fed. Sts.;Parlamentary republic;NI;;;;;;;;;
Moldova;Parlamentary republic;Highly corrupt;;;;;;;;;
Monaco;Constitutional monarchy;Less corrupt;;;;;;;;;
Mongolia;Semipresidential republic;Highly corrupt;;;;;;;;;
Montenegro;Parlamentary republic;Highly corrupt;;;;;;;;;
Morocco;Constitutional monarchy;NI;;;;;;;;;
Mozambique;Semipresidential republic;Highly corrupt;;;;;;;;;
Myanmar;Parlamentary republic;NI;;;;;;;;;
Namibia;Semipresidential republic;Less corrupt;;;;;;;;;
Nauru;Parlamentary republic;NI;;;;;;;;;
Nepal;Parlamentary republic;Highly corrupt;;;;;;;;;
Netherlands;Constitutional monarchy;Less corrupt;;;;;;;;;
New Caledonia;Semipresidential republic;Less corrupt;;;;;;;;;
New Zealand;Constitutional monarchy;Less corrupt;;;;;;;;;
Nicaragua;Presidential republic;Highly corrupt;;;;;;;;;
Niger;Semipresidential republic;Highly corrupt;;;;;;;;;
Nigeria;Presidential republic;Highly corrupt;;;;;;;;;
North Macedonia;Parlamentary republic;Highly corrupt;;;;;;;;;
Northern Mariana Islands;Presidential republic;Less corrupt;;;;;;;;;
Norway;Constitutional monarchy;Less corrupt;;;;;;;;;
Oman;Absolut monarchy;Less corrupt;;;;;;;;;
Pakistan;Islamic Parlamentary Republic;Highly corrupt;;;;;;;;;
Palau;Presidential republic;NI;;;;;;;;;
Panama;Presidential republic;Highly corrupt;;;;;;;;;
Papua New Guinea;Constitutional monarchy;Highly corrupt;;;;;;;;;
Paraguay;Presidential republic;Highly corrupt;;;;;;;;;
Peru;Presidential republic;Highly corrupt;;;;;;;;;
Philippines;Presidential republic;Highly corrupt;;;;;;;;;
Poland;Parlamentary republic;Less corrupt;;;;;;;;;
Portugal;Semipresidential republic;Less corrupt;;;;;;;;;
Puerto Rico;Presidential republic;Less corrupt;;;;;;;;;
Qatar;Absolut monarchy;Less corrupt;;;;;;;;;
Romania;Semipresidential republic;Highly corrupt;;;;;;;;;
Russian Federation;Semipresidential republic;Highly corrupt;;;;;;;;;
Rwanda;Presidential republic;Less corrupt;;;;;;;;;
