,"2016","2016","2016"
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,"18+  years","18+  years","18+  years"
"Country","Both sexes","Male","Female"
"Afghanistan","19.7 [15.8-24.0]","17.1 [11.8-23.6]","22.2 [16.8-28.5]"
"Albania","58.7 [53.8-63.5]","64.9 [57.9-71.4]","52.8 [45.8-59.6]"
"Algeria","60.7 [56.0-65.4]","56.7 [49.7-63.5]","64.8 [58.3-71.0]"
"Andorra","68.1 [63.1-72.7]","74.5 [67.8-80.3]","61.9 [54.6-68.8]"
"Angola","23.9 [19.0-29.2]","17.2 [10.9-24.1]","30.4 [23.1-38.5]"
"Antigua and Barbuda","48.4 [42.5-54.5]","40.2 [31.4-49.2]","56.3 [48.0-64.4]"
"Argentina","63.4 [58.8-67.8]","66.4 [59.8-72.9]","60.5 [53.9-66.8]"
"Armenia","55.7 [50.6-60.5]","54.6 [46.8-61.6]","56.9 [49.8-63.4]"
"Australia","67.2 [63.6-70.6]","73.3 [68.4-77.8]","61.3 [55.9-66.5]"
"Austria","58.1 [53.3-62.5]","65.3 [58.5-71.5]","51.3 [45.0-57.7]"
"Azerbaijan","53.5 [48.1-58.7]","52.4 [44.7-60.0]","54.4 [47.2-61.6]"
"Bahamas","65.2 [60.0-70.2]","60.8 [52.9-68.4]","69.3 [62.3-75.9]"
"Bahrain","64.4 [59.3-69.3]","62.9 [55.8-69.5]","67.2 [60.7-73.3]"
"Bangladesh","19.0 [15.7-22.7]","17.3 [12.4-22.6]","20.8 [16.4-25.8]"
"Barbados","55.3 [49.7-61.0]","46.8 [38.5-55.3]","63.6 [56.4-70.5]"
"Belarus","62.9 [57.8-68.0]","65.2 [58.0-71.8]","61.1 [53.5-68.3]"
"Belgium","64.1 [60.1-67.9]","71.4 [66.0-76.4]","57.2 [51.4-62.8]"
"Belize","51.8 [46.3-57.2]","45.4 [37.6-53.2]","58.0 [50.5-65.3]"
"Benin","26.3 [22.4-30.4]","19.1 [14.0-25.1]","33.3 [27.7-39.1]"
"Bhutan","25.4 [21.1-30.2]","24.3 [17.9-31.3]","26.7 [21.0-33.0]"
"Bolivia (Plurinational State of)","53.2 [47.9-58.6]","49.2 [41.0-57.5]","57.1 [50.2-64.0]"
"Bosnia and Herzegovina","56.4 [51.3-61.2]","62.0 [54.8-68.9]","51.2 [44.1-58.1]"
"Botswana","38.4 [33.4-43.3]","26.5 [19.9-33.6]","50.7 [43.5-57.7]"
"Brazil","56.9 [52.6-61.0]","57.6 [51.5-63.5]","56.2 [50.4-62.2]"
"Brunei Darussalam","42.2 [37.1-47.5]","42.0 [34.5-49.7]","42.5 [35.7-49.4]"
"Bulgaria","66.3 [61.3-71.0]","73.0 [66.5-79.1]","60.2 [52.7-67.3]"
"Burkina Faso","20.0 [16.5-23.7]","14.0 [9.7-18.9]","25.6 [20.4-31.1]"
