"country","healthSecurity"
"United States","Most prepared"
"United Kingdom","Most prepared"
"Netherlands","Most prepared"
"Denmark","Most prepared"
"France","Most prepared"
"Slovenia","Most prepared"
"Germany","More prepared"
"Spain","More prepared"
"Norway","More prepared"
"Latvia","More prepared"
"Belgium","More prepared"
"Portugal","More prepared"
"Ireland","More prepared"
"Estonia","More prepared"
"Lithuania","More prepared"
"Croatia","More prepared"
"Czech Republic","More prepared"
"Iceland","More prepared"
"Romania","More prepared"
"Cyprus","More prepared"
"Malta","More prepared"
